,ID Iklan,Merk,Model,Tahun,Jenis,Pintu,Kapasitas,Transmisi,BBM,Tipe Penjual,Boleh Nego,Test Drive,Loc,Price,Kilometer,CC Mesin,Airbags,Tenaga mesin,Jumlah Gigi
12302,99550,Daihatsu,Grand Max PU,2013,,2,,Manual,Bensin,Owner,No,No,Depok,75.000.000,65000,1500,,,
12303,99549,Mercedes-Benz,C 200,2019,Sedan,4,5 penumpang,Matic,Bensin,Dealer,Yes,Yes,Jakarta Selatan,805.000.000,,1500,7,200 HP,7
12304,99548,Toyota,Kijang LSX,2000,Minibus,5,,Manual,Bensin,Owner,Yes,No,Jakarta Pusat,61.000.000,330,1798,,,5
12305,99547,VW,Scirocco,2014,City Car,2,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,375.000.000,25,20,4,20 HP,2
12306,99546,Honda,All New Jazz,2016,City Car,4,5 penumpang,Matic,Bensin,Owner,Yes,No,Sleman,198.000.000,30,15,2,15 HP,2
12307,99545,Honda,CR-V,2013,SUV,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,232.000.000,60000,2400,,,
12308,99544,Audi,A6,2013,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,425.000.000,17000,2000,,,
12309,99543,Honda,Jazz,2013,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,138.000.000,59000,1500,,,
12310,99542,Toyota,Alphard,2010,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Pusat,295.000.000,,2400,,,
12311,99541,Isuzu,Panther Pick-up,2008,Truck,2,2 penumpang,Manual,Diesel,Owner,No,No,Depok,74.000.000,,2500,,,
12312,99540,Suzuki,Ertiga,2016,MPV,5,7 penumpang,Manual,Bensin,Owner,Yes,No,Bogor,150.000.000,25000,1400,2,,5
12313,99539,Ford,Ranger Doble Cabin,2013,Truck,4,5 penumpang,Manual,Diesel,Owner,No,No,Jakarta Selatan,205.000.000,,2200,,,
12314,99538,Toyota,Land Cruiser,2001,SUV,5,2 penumpang,Matic,Diesel,Owner,Yes,Yes,Sidoarjo,415.000.000,258000,4200,2,,5
12315,99537,Mercedes-Benz,A 250,2018,Hatcback,4,5 penumpang,Matic,Bensin,Dealer,Yes,Yes,Jakarta Selatan,607.500.000,,1300,7,,7
12316,99536,,,,,5,,Matic,Bensin,Dealer,Yes,Yes,Jakarta Selatan,1.775.000.000,,3000,7,,7
12317,99535,Toyota,Avanza 1.3 G,2014,MPV,5,7 penumpang,Matic,Bensin,Owner,Yes,Yes,Jakarta Timur,119.000.000,60000,1300,,,
12318,99534,Toyota,Avanza Veloz,2013,SUV,5,7 penumpang,Matic,Bensin,Owner,Yes,No,Surabaya,130.000.000,60000,1500,2,12345 HP,5
12319,99533,Toyota,Vios,2010,Sedan,4,5 penumpang,Manual,Bensin,Owner,Yes,No,Pidie,72.000.000,2500,1500,,,5
12320,99532,Toyota,Kijang Kapsul,2006,Komersial,2,,Manual,Bensin,Owner,Yes,No,Tangerang,30,53641,1800,,1781 HP,6
12321,99531,Jeep,Liberty,2006,SUV,4,5 penumpang,Matic,Bensin,Owner,No,No,Pekanbaru,250.000.000,40000,3700,,,
12322,99530,Mercedes-Benz,Boxer,1991,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,78.000.000,,3000,,,
12323,99529,Hino,500 Ranger,2019,Truck,2,2 penumpang,Manual,Diesel,Dealer,Yes,No,Jakarta Pusat,500.000.000,,7000,2,13000 HP,5
12324,99528,Toyota,Avanza 1.3 G,2017,Minibus,5,7 penumpang,Manual,Bensin,Owner,Yes,Yes,Tangerang Selatan,70.000.000,26178,1300,2,,5
12325,99527,Toyota,Kijang Innova E 2.0,2006,Minibus,4,7 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,89.000.000,79000,2000,,,
12326,99526,Toyota,Vios 1.5 TRD,2017,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Pusat,214.000.000,25000,1500,,,
12327,99525,Daihatsu,Xenia,2008,Minibus,5,5 penumpang,Manual,Bensin,Owner,Yes,Yes,Sleman,78.500.000,100,1000,,1000 HP,5
12328,99524,Chevrolet,Captiva,2011,SUV,4,5 penumpang,Matic,Diesel,Owner,No,No,Jakarta Pusat,148.000.000,,2000,,,
12329,99523,Mitsubishi,Mirage,2015,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Depok,117.000.000,35000,1200,2,,4
12330,99522,Honda,Civic,2016,Sedan,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,422.000.000,21,15,4,15 HP,2
12331,99521,Toyota,Alphard,2015,SUV,4,7 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,835.000.000,31,25,5,25 HP,2
12332,99520,Mitsubishi,,2000,Sedan,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,BSD,59.000.000,117,16,2,2500 HP,5
12333,99519,Mitsubishi,Galant,2006,Sedan,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,BSD,59.000.000,117,16,2,2500 HP,5
12334,99518,Toyota,Kijang Innova V 2.0,2006,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,95.000.000,,2000,,,
12335,99517,Mitsubishi,L 300,2015,Minibus,4,,Manual,Diesel,Owner,Yes,No,Sleman,165.000.000,21000,2500,,,5
12336,99516,Toyota,Kijang,2003,Truck,4,5 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,59.500.000,,1800,,,
12337,99515,Honda,Accord,2013,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Depok,282.000.000,65000,2400,,,
12338,99514,Mitsubishi,Pajero Sport,2011,SUV,5,,Matic,Diesel,Owner,Yes,No,Jakarta Timur,232.000.000,172000,2500,2,,
12339,99513,Daihatsu,Xenia,2013,Minibus,4,7 penumpang,Manual,Bensin,Owner,No,No,Tangerang Selatan,112.000.000,,1300,,,
12340,99512,Toyota,Rush,2008,SUV,4,5 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,114.000.000,110000,1500,,,
12341,99511,Jeep,Cherokee,2006,SUV,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,250.000.000,40000,3700,,,
12342,99508,Mercedes-Benz,E 200,2018,Sedan,4,5 penumpang,Matic,Bensin,Dealer,Yes,Yes,Jakarta Selatan,878.000.000,,2000,7,198 HP,
12343,99507,Mercedes-Benz,C-Class,2019,Sedan,4,5 penumpang,Matic,Bensin,Dealer,Yes,Yes,Jakarta Selatan,910.000.000,,2000,7,211 HP,7
12344,99506,Suzuki,Katana,1996,SUV,3,5 penumpang,Manual,Bensin,Owner,Yes,No,Garut,21.000.000,30000,,,,
12345,99505,Toyota,Vios 1.5 G,2004,Sedan,4,5 penumpang,Manual,Bensin,Owner,Yes,No,Jember,35.000.000,230000,,,,
12346,99504,,,,,5,7 penumpang,Manual,Diesel,Owner,Yes,No,Tangerang Selatan,265.000.000,8200,3,4,4294967295 HP,5
12347,99503,Suzuki,Splash,2015,Hatcback,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,125.000.000,30,15,2,15 HP,2
12348,99502,Toyota,Avanza 1.3 G,2007,MPV,5,7 penumpang,Manual,Bensin,Owner,Yes,No,Bekasi,95.000.000,80000,1300,2,,5
12349,99501,Toyota,Camry 2.4 G,2004,Sedan,2,,Manual,Bensin,Owner,Yes,No,Semarang,79.000.000,35000,2400,2,200 KM,5
12350,99500,Toyota,Kijang Super,,,,,Manual,Bensin,Owner,Yes,Yes,Malang Kabupaten,49.000.000,,,,,
12351,99499,Toyota,Sienta,2017,MPV,4,7 penumpang,Manual,Bensin,Owner,Yes,No,Padang,45.000.000,25,1500,4,1000 HP,6
12352,99498,Toyota,Wish,2004,MPV,4,,Matic,Bensin,Owner,No,No,Bekasi,85.000.000,140000,1800,,,
12353,99497,Honda,Jazz,2008,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,108.000.000,,1500,,,
12354,99496,Toyota,Avanza Veloz,2014,Minibus,4,7 penumpang,Manual,Bensin,Owner,Yes,Yes,Jakarta Utara,148.500.000,24000,1500,2,,
12355,99495,Toyota,Kijang Innova,2008,Minibus,4,7 penumpang,Manual,Diesel,Owner,No,No,Depok,149.500.000,91000,2500,,,
